"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted"
"BGR",2022,"HPV","HPV",18.5354984676129,0
"BHS",2022,"HPV","HPV",7.93604310145229,0
"BIH",2022,"HPV","HPV",64.6969984341735,0
"BLR",2022,"HPV","HPV",183.677147636038,0
"BLZ",2022,"HPV","HPV",41.8007730211757,0
"BOL",2022,"HPV","HPV",1775.37542333515,0
"BRA",2022,"HPV","HPV",18740.5377061545,0
"BRB",2022,"HPV","HPV",3.38761073977357,0
"BRN",2022,"HPV","HPV",14.263459972927,0
"BTN",2022,"HPV","HPV",50.8589649499706,0
"BWA",2022,"HPV","HPV",231.16076049194,51.3690578870977
"CAN",2022,"HPV","HPV",1685.08204297692,0
"CHE",2022,"HPV","HPV",125.726912519489,0
"CHL",2022,"HPV","HPV",646.837808774239,525.080103593206
"CHN",2022,"HPV","HPV",4337.20624412622,0
"CIV",2022,"HPV","HPV",5686.48161628869,0
"CMR",2022,"HPV","HPV",5785.78684779005,470.936138773609
"COG",2022,"HPV","HPV",732.809464075552,0
"COL",2022,"HPV","HPV",1020.93490831564,220.201646891608
"CPV",2022,"HPV","HPV",56.1847172631694,0
"CRI",2022,"HPV","HPV",218.54448183173,0
"CYP",2022,"HPV","HPV",7.50528889145264,0
"DEU",2022,"HPV","HPV",2240.09178928315,0
"DJI",2022,"HPV","HPV",71.173539202162,0
"DNK",2022,"HPV","HPV",88.3729460640736,0
"DOM",2022,"HPV","HPV",1079.32570130803,0
"ECU",2022,"HPV","HPV",1430.50563225268,783.013609233045
"ERI",2022,"HPV","HPV",210.754599697995,0
"ESP",2022,"HPV","HPV",1804.37614033674,0
"EST",2022,"HPV","HPV",18.2749500188839,0
"ETH",2022,"HPV","HPV",14303.8380320257,15121.2002052843
"FIN",2022,"HPV","HPV",106.423266765392,0
"FJI",2022,"HPV","HPV",97.2364805482188,0
"FRA",2022,"HPV","HPV",1783.49712455083,0
"FSM",2022,"HPV","HPV",1.77305122861549,1.53226649386524
"GBR",2022,"HPV","HPV",4037.78918121546,0
"GEO",2022,"HPV","HPV",86.1418563220124,32.5424790549825
"GHA",2022,"HPV","HPV",7305.15421752154,0
"GMB",2022,"HPV","HPV",519.082470367731,0
"GNB",2022,"HPV","HPV",436.840982296505,0
"GRD",2022,"HPV","HPV",11.3216879281035,0
"GTM",2022,"HPV","HPV",1456.09904518024,0
"GUY",2022,"HPV","HPV",77.047413358196,11.4144316086216
"HND",2022,"HPV","HPV",764.240521563823,0
"HTI",2022,"HPV","HPV",600.577218464029,0
"HUN",2022,"HPV","HPV",155.771694852446,0
"IDN",2022,"HPV","HPV",7955.95151691012,0
"IRL",2022,"HPV","HPV",196.570788269765,0
"ISL",2022,"HPV","HPV",13.622492204489,0
"ISR",2022,"HPV","HPV",444.239867102545,0
"ITA",2022,"HPV","HPV",1959.51767655585,0
"JAM",2022,"HPV","HPV",208.946234015791,0
"JPN",2022,"HPV","HPV",2704.39475644596,0
"KEN",2022,"HPV","HPV",11741.8880709805,2464.34687909468
"KGZ",2022,"HPV","HPV",690.457804244855,0
"KHM",2022,"HPV","HPV",1332.72672023523,0
"KIR",2022,"HPV","HPV",4.88272608510553,0
"KOR",2022,"HPV","HPV",475.51421445348,0
"LAO",2022,"HPV","HPV",453.486022863589,0
"LBR",2022,"HPV","HPV",1352.52412003432,0
"LCA",2022,"HPV","HPV",5.34489406024005,0
"LKA",2022,"HPV","HPV",658.732647475695,0
"LSO",2022,"HPV","HPV",395.486529648571,424.781828141058
"LTU",2022,"HPV","HPV",36.2612482130588,0
"LUX",2022,"HPV","HPV",11.9372377110315,0
"LVA",2022,"HPV","HPV",49.1959650273965,0
"MAR",2022,"HPV","HPV",3209.44414870406,0
"MDA",2022,"HPV","HPV",150.897458791062,0
"MDG",2022,"HPV","HPV",9009.10793030504,0
"MEX",2022,"HPV","HPV",17092.1313185615,14393.3737419465
"MKD",2022,"HPV","HPV",24.1024494191963,0
"MLI",2022,"HPV","HPV",6162.19383103476,0
"MLT",2022,"HPV","HPV",12.1976769313167,0
"MMR",2022,"HPV","HPV",4025.86889173729,2059.74687484233
"MNG",2022,"HPV","HPV",343.455439276342,0
"MOZ",2022,"HPV","HPV",8570.55022311908,4033.20010499721
"MRT",2022,"HPV","HPV",964.770012579235,321.590004193078
"MUS",2022,"HPV","HPV",29.9021733630326,0
"MWI",2022,"HPV","HPV",11649.524121453,906.074098335234
"MYS",2022,"HPV","HPV",1490.30836304104,0
"NAM",2022,"HPV","HPV",296.744308665536,0
"NER",2022,"HPV","HPV",1644.82321215705,0
"NIC",2022,"HPV","HPV",762.682980261668,0
"NLD",2022,"HPV","HPV",404.327371986796,0
"NOR",2022,"HPV","HPV",340.003636988199,0
"NPL",2022,"HPV","HPV",2914.60975366014,0
"NZL",2022,"HPV","HPV",213.033842858406,0
"PAK",2022,"HPV","HPV",11231.2444689021,0
"PAN",2022,"HPV","HPV",862.471472996926,0
"PER",2022,"HPV","HPV",2990.25045162585,0
"PHL",2022,"HPV","HPV",5352.54341397137,0
"PNG",2022,"HPV","HPV",1157.25809033204,0
"PRT",2022,"HPV","HPV",390.304353451673,0
"PRY",2022,"HPV","HPV",691.859803895114,0
"RWA",2022,"HPV","HPV",3501.4271357752,2917.85594647933
"SEN",2022,"HPV","HPV",5038.41551598518,1635.84919350168
"SGP",2022,"HPV","HPV",70.006902856153,62.1311262848358
"SLB",2022,"HPV","HPV",96.7298721801546,7.52343450290091
"SLE",2022,"HPV","HPV",640.690813993234,0
"SLV",2022,"HPV","HPV",278.099059809752,0
"SRB",2022,"HPV","HPV",193.393354086019,0
"STP",2022,"HPV","HPV",48.3799907244606,0
"SUR",2022,"HPV","HPV",20.9157080267853,0.69719026755951
"SVN",2022,"HPV","HPV",57.1679768157389,0
"SWE",2022,"HPV","HPV",202.340092088275,0
"SWZ",2022,"HPV","HPV",475.604328208187,0
"SYC",2022,"HPV","HPV",5.57060310406391,0
"TGO",2022,"HPV","HPV",1596.78419487264,0
"THA",2022,"HPV","HPV",2343.30761260349,0
"TJK",2022,"HPV","HPV",296.744817264038,0
"TKM",2022,"HPV","HPV",927.273955877478,0
"TLS",2022,"HPV","HPV",41.092597623687,0
"TON",2022,"HPV","HPV",3.44723165477352,0
"TTO",2022,"HPV","HPV",39.2986109212844,0
"TUN",2022,"HPV","HPV",218.961817426995,0
"TZA",2022,"HPV","HPV",27332.8110914924,21298.2943570071
"UGA",2022,"HPV","HPV",20722.6457391976,0
"URY",2022,"HPV","HPV",71.8782302211554,0
"USA",2022,"HPV","HPV",12805.1494669017,0
"UZB",2022,"HPV","HPV",1317.13604509828,1448.8496496081
"VCT",2022,"HPV","HPV",5.39686462014192,0
"VNM",2022,"HPV","HPV",2466.46371488754,0
"VUT",2022,"HPV","HPV",24.0447785710425,0
"WSM",2022,"HPV","HPV",13.2238209573113,0
"ZAF",2022,"HPV","HPV",9192.67344756036,5334.02039549799
"ZMB",2022,"HPV","HPV",10564.7830002404,4460.68615565705
"ZWE",2022,"HPV","HPV",6680.85830440738,0
"AFG",2019,"HepB","HepB",4018.0683912944,4018.0683912944
"AGO",2019,"HepB","HepB",8619.21558165127,8619.21558165127
"ALB",2019,"HepB","HepB",201.323731597561,201.323731597561
"ARE",2019,"HepB","HepB",871.417302687421,871.417302687421
"ARG",2019,"HepB","HepB",5128.78944689368,5128.78944689368
"ARM",2019,"HepB","HepB",173.729566475847,173.729566475847
"ATG",2019,"HepB","HepB",7.19993598299528,7.19993598299528
"AUS",2019,"HepB","HepB",2639.23218841795,2639.23218841795
"AUT",2019,"HepB","HepB",580.985668415844,580.985668415844
"AZE",2019,"HepB","HepB",519.357006257219,519.357006257219
"BDI",2019,"HepB","HepB",2441.98186074785,2441.98186074785
"BEL",2019,"HepB","HepB",903.218921351752,903.218921351752
"BEN",2019,"HepB","HepB",6234.16256692208,6234.16256692208
"BFA",2019,"HepB","HepB",8057.93183034981,8057.93183034981
"BGD",2019,"HepB","HepB",21594.8690515821,21594.8690515821
"BGR",2019,"HepB","HepB",482.04113935771,482.04113935771
"BHR",2019,"HepB","HepB",238.627090192567,238.627090192567
"BHS",2019,"HepB","HepB",44.9962543564029,44.9962543564029
"BIH",2019,"HepB","HepB",125.478437059875,125.478437059875
"BLR",2019,"HepB","HepB",419.112689241627,419.112689241627
"BLZ",2019,"HepB","HepB",3.30545184790479,3.30545184790479
"BOL",2019,"HepB","HepB",265.075376355733,265.075376355733
"BRA",2019,"HepB","HepB",23981.4529894349,23981.4529894349
"BRB",2019,"HepB","HepB",23.4980446614084,23.4980446614084
"BRN",2019,"HepB","HepB",62.2402062422699,62.2402062422699
"BTN",2019,"HepB","HepB",41.7778853032322,41.7778853032322
"BWA",2019,"HepB","HepB",645.985462899039,645.985462899039
"CAF",2019,"HepB","HepB",1343.38492350073,1343.38492350073
"CAN",2019,"HepB","HepB",2171.24194228998,2171.24194228998
"CHE",2019,"HepB","HepB",187.053443360443,187.053443360443
"CHL",2019,"HepB","HepB",1566.2868908748,1566.2868908748
"CHN",2019,"HepB","HepB",319789.732964167,319789.732964167
"CIV",2019,"HepB","HepB",4751.68208102588,4751.68208102588
"CMR",2019,"HepB","HepB",4472.48246019025,4472.48246019025
"COD",2019,"HepB","HepB",19972.2061464112,19972.2061464112
"COG",2019,"HepB","HepB",1492.31577740903,1492.31577740903
"COL",2019,"HepB","HepB",1240.1697792559,1240.1697792559
"COM",2019,"HepB","HepB",192.324256403053,192.324256403053
"CPV",2019,"HepB","HepB",158.989239874006,158.989239874006
"CRI",2019,"HepB","HepB",597.187122400372,597.187122400372
"CUB",2019,"HepB","HepB",25.0368965144425,25.0368965144425
"CYP",2019,"HepB","HepB",68.0713122618284,68.0713122618284
"CZE",2019,"HepB","HepB",741.990141413602,741.990141413602
"DEU",2019,"HepB","HepB",4964.36124159734,4964.36124159734
"DJI",2019,"HepB","HepB",175.061693121237,175.061693121237
"DOM",2019,"HepB","HepB",1923.69299194283,1923.69299194283
"DZA",2019,"HepB","HepB",7000.93553237881,7000.93553237881
"ECU",2019,"HepB","HepB",344.736412449922,344.736412449922
"EGY",2019,"HepB","HepB",9279.72916180103,9279.72916180103
"ERI",2019,"HepB","HepB",1019.61330996887,1019.61330996887
"ESP",2019,"HepB","HepB",1954.95959382178,1954.95959382178
"EST",2019,"HepB","HepB",108.014536878149,108.014536878149
"ETH",2019,"HepB","HepB",34353.9587288246,34353.9587288246
"FJI",2019,"HepB","HepB",120.901543649985,120.901543649985
"FRA",2019,"HepB","HepB",4026.25271306193,4026.25271306193
"FSM",2019,"HepB","HepB",40.5529999862326,40.5529999862326
"GAB",2019,"HepB","HepB",538.299181819975,538.299181819975
"GBR",2019,"HepB","HepB",2432.30336252053,2432.30336252053
"GEO",2019,"HepB","HepB",219.199754964517,219.199754964517
"GHA",2019,"HepB","HepB",14654.8205823784,14654.8205823784
"GIN",2019,"HepB","HepB",3704.53713330831,3704.53713330831
"GMB",2019,"HepB","HepB",864.668708298174,864.668708298174
"GNB",2019,"HepB","HepB",624.529058510811,624.529058510811
"GNQ",2019,"HepB","HepB",323.62575021835,323.62575021835
"GRC",2019,"HepB","HepB",492.364375003679,492.364375003679
"GRD",2019,"HepB","HepB",16.4369524221543,16.4369524221543
"GTM",2019,"HepB","HepB",531.637023663371,531.637023663371
"GUY",2019,"HepB","HepB",19.9849813586247,19.9849813586247
"HND",2019,"HepB","HepB",107.666901165873,107.666901165873
"HRV",2019,"HepB","HepB",193.730296459362,193.730296459362
"HTI",2019,"HepB","HepB",169.037869829531,169.037869829531
"IDN",2019,"HepB","HepB",58396.6985392423,58396.6985392423
"IND",2019,"HepB","HepB",82073.307945268,82073.307945268
"IRL",2019,"HepB","HepB",302.300665428438,302.300665428438
"IRN",2019,"HepB","HepB",3147.82940679991,3147.82940679991
"IRQ",2019,"HepB","HepB",4852.11445120824,4852.11445120824
"ISR",2019,"HepB","HepB",977.022301033855,977.022301033855
"ITA",2019,"HepB","HepB",2481.58232544643,2481.58232544643
"JAM",2019,"HepB","HepB",11.4881117206645,11.4881117206645
"JOR",2019,"HepB","HepB",433.578673592664,433.578673592664
"JPN",2019,"HepB","HepB",3024.3562255926,3024.3562255926
"KAZ",2019,"HepB","HepB",4288.83337798809,4288.83337798809
"KEN",2019,"HepB","HepB",7346.9794867365,7346.9794867365
"KGZ",2019,"HepB","HepB",1509.02787765361,1509.02787765361
"KHM",2019,"HepB","HepB",1934.89121404156,1934.89121404156
"KIR",2019,"HepB","HepB",74.2858864489517,74.2858864489517
"KOR",2019,"HepB","HepB",2144.97779037738,2144.97779037738
"KWT",2019,"HepB","HepB",601.512153008306,601.512153008306
"LAO",2019,"HepB","HepB",987.585658625163,987.585658625163
"LBN",2019,"HepB","HepB",550.311898079986,550.311898079986
"LBR",2019,"HepB","HepB",1958.8907472988,1958.8907472988
"LBY",2019,"HepB","HepB",963.985239355422,963.985239355422
"LCA",2019,"HepB","HepB",17.728962680085,17.728962680085
"LKA",2019,"HepB","HepB",5151.23012794153,5151.23012794153
"LSO",2019,"HepB","HepB",513.219308436779,513.219308436779
"LTU",2019,"HepB","HepB",204.923342143788,204.923342143788
"LUX",2019,"HepB","HepB",45.7177931908429,45.7177931908429
"LVA",2019,"HepB","HepB",177.25619423803,177.25619423803
"MAR",2019,"HepB","HepB",1934.98555519854,1934.98555519854
"MDA",2019,"HepB","HepB",177.265922409444,177.265922409444
"MDG",2019,"HepB","HepB",4132.59681919601,4132.59681919601
"MDV",2019,"HepB","HepB",50.6393960497293,50.6393960497293
"MEX",2019,"HepB","HepB",12705.777921183,12705.777921183
"MKD",2019,"HepB","HepB",76.6555259220592,76.6555259220592
"MLI",2019,"HepB","HepB",9735.31894436263,9735.31894436263
"MLT",2019,"HepB","HepB",28.9315256216414,28.9315256216414
"MMR",2019,"HepB","HepB",11197.9460642862,11197.9460642862
"MNE",2019,"HepB","HepB",26.2745880617018,26.2745880617018
"MNG",2019,"HepB","HepB",1314.66370643357,1314.66370643357
"MOZ",2019,"HepB","HepB",7246.66697327663,7246.66697327663
"MRT",2019,"HepB","HepB",1986.49045961448,1986.49045961448
"MUS",2019,"HepB","HepB",120.884523143743,120.884523143743
"MWI",2019,"HepB","HepB",4376.71917423267,4376.71917423267
"MYS",2019,"HepB","HepB",3894.047767331,3894.047767331
"NAM",2019,"HepB","HepB",364.894082192338,364.894082192338
"NER",2019,"HepB","HepB",13990.996480204,13990.996480204
"NGA",2019,"HepB","HepB",70107.0171043234,70107.0171043234
