"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"86","HPV",2019,16.4307087507573,20.0819773620367,3.6512686112794,"EMRO"
"87","HPV",2020,798.137028451655,0,-798.137028451655,"EMRO"
"88","HPV",2021,1148.69788796211,0,-1148.69788796211,"EMRO"
"89","HPV",2022,7131.0144665243,0,-7131.0144665243,"EMRO"
"90","HPV",2019,32229.8891353691,31845.2418471337,-384.647288235446,"PAHO"
"91","HPV",2020,23022.7935166321,2220.91543877831,-20801.8780778537,"PAHO"
"92","HPV",2021,23435.9243353413,884.033933087664,-22551.8904022537,"PAHO"
"93","HPV",2022,24362.1611852734,15933.7807235405,-8428.38046173283,"PAHO"
"94","HPV",2019,8289.88633083628,8928.36190338749,638.475572551217,"EURO"
"95","HPV",2020,6292.35936722499,1411.05487332602,-4881.30449389897,"EURO"
"96","HPV",2019,2451.71740724429,2279.05887776716,-172.658529477121,"WPRO"
"97","HPV",2020,5398.31840191526,93.7233254889534,-5304.59507642631,"WPRO"
"98","HPV",2021,7262.83764677431,79.3228473823558,-7183.51479939196,"WPRO"
"99","HPV",2022,10170.2180776795,71.1868272816019,-10099.0312503979,"WPRO"
"100","HPV",2022,13302.6445073125,2059.74687484233,-11242.8976324702,"SEARO"
"101","HPV",2019,182.644742260866,654.813697519213,472.168955258347,"SEARO"
"102","HPV",2020,5143.17537507546,0,-5143.17537507546,"SEARO"
"103","HPV",2021,7089.70234813252,0,-7089.70234813252,"SEARO"
"104","HPV",2020,57827.2241539739,57573.3811579166,-253.842996057254,"AFRO"
"105","HepB",2019,80057.8007071403,83042.4793904669,2984.67868332661,"EMRO"
"106","HepB",2020,79836.4276321766,80356.6401311837,520.212499007073,"EMRO"
"107","HepB",2021,79798.436147569,81109.4218585226,1310.98571095367,"EMRO"
"108","HepB",2022,81374.7903704375,82621.4903586237,1246.69998818618,"EMRO"
"109","HepB",2019,303396.953250915,306317.948198282,2920.994947367,"AFRO"
"110","HepB",2020,308700.329020505,301432.146834121,-7268.1821863841,"AFRO"
"111","HepB",2021,313151.842228839,300344.271955222,-12807.5702736163,"AFRO"
"112","HepB",2022,326610.951427136,305034.84228687,-21576.1091402659,"AFRO"
"113","HepB",2019,100271.040922153,100776.89272456,505.851802407109,"EURO"
"114","HepB",2020,96995.7006582318,96336.6248906987,-659.075767533155,"EURO"
"115","HepB",2021,95420.6139959358,94661.6509297111,-758.963066224678,"EURO"
"116","HepB",2022,94176.614716581,93680.703391976,-495.911324605026,"EURO"
"117","HepB",2019,130778.052534338,128013.431731137,-2764.62080320177,"PAHO"
"118","HepB",2020,128412.770972573,129769.953148796,1357.18217622307,"PAHO"
"119","HepB",2021,124738.502344499,125673.133971312,934.631626813192,"PAHO"
"120","HepB",2022,128360.725006009,131896.738220985,3536.01321497602,"PAHO"
"121","HepB",2019,470862.694305097,473975.353814595,3112.65950949799,"WPRO"
"122","HepB",2020,448094.069646722,451304.425250304,3210.35560358205,"WPRO"
"123","HepB",2021,385955.727482846,381140.234612025,-4815.49287082057,"WPRO"
"124","HepB",2022,352630.332213916,352669.238206215,38.9059922989691,"WPRO"
"125","HepB",2019,218257.366843562,226012.8804052,7755.51356163874,"SEARO"
"126","HepB",2020,215436.807853308,209043.38811499,-6393.41973831705,"SEARO"
"127","HepB",2021,212914.800632581,192034.335880697,-20880.4647518833,"SEARO"
"128","HepB",2022,218105.593786824,217920.323567506,-185.270219317754,"SEARO"
"129","Hib",2019,31429.8018088312,33223.3416970487,1793.53988821753,"EMRO"
"130","Hib",2020,31557.6914478111,32316.9656891448,759.274241333667,"EMRO"
"131","Hib",2021,31804.6410952657,32613.1286482896,808.487553023875,"EMRO"
"132","Hib",2022,32909.9941369923,33625.4529112918,715.458774299521,"EMRO"
"133","Hib",2019,99368.4627160058,98533.5144122269,-834.94830377886,"AFRO"
"134","Hib",2020,101368.715139089,97171.4593998807,-4197.25573920786,"AFRO"
"135","Hib",2021,103112.56596079,96421.5052335009,-6691.06072728902,"AFRO"
"136","Hib",2022,107735.4964628,98199.4464356266,-9536.05002717293,"AFRO"
"137","Hib",2019,4359.48969188697,4389.6290921249,30.1394002379293,"EURO"
"138","Hib",2020,4322.14799253102,4257.79970432734,-64.3482882036833,"EURO"
"139","Hib",2021,4285.49443959092,4251.4836602774,-34.0107793135176,"EURO"
"140","Hib",2022,4223.15157233187,4216.28827360036,-6.8632987315068,"EURO"
"141","Hib",2019,6550.34858857784,6200.44038216016,-349.90820641768,"PAHO"
"142","Hib",2020,6459.03981957071,5848.01212669174,-611.027692878968,"PAHO"
"143","Hib",2021,6352.91073459935,5695.93590226069,-656.974832338654,"PAHO"
"144","Hib",2022,6383.68831990298,5865.96556248449,-517.722757418497,"PAHO"
"145","Hib",2019,4225.22400644815,4164.93088476717,-60.293121680982,"WPRO"
"146","Hib",2020,4221.12906623774,4195.01019142113,-26.1188748166142,"WPRO"
"147","Hib",2021,4223.95665704091,3674.46578010542,-549.490876935495,"WPRO"
"148","Hib",2022,4291.50653013136,4165.9274303768,-125.579099754552,"WPRO"
"149","Hib",2019,56169.4348533123,56293.6604598905,124.225606578148,"SEARO"
"150","Hib",2020,55220.1864247842,52038.5780176481,-3181.60840713611,"SEARO"
"151","Hib",2021,54444.988605758,49895.5056395887,-4549.48296616936,"SEARO"
"152","Hib",2022,54639.1687673646,54724.6760314834,85.5072641188381,"SEARO"
"153","JE",2019,4278.43206015989,10159.8460070691,5881.4139469092,"SEARO"
"154","JE",2020,4195.50659776079,9726.98539877233,5531.47880101154,"SEARO"
"155","JE",2021,4132.18886034289,8929.18598913594,4796.99712879305,"SEARO"
"156","JE",2022,4147.69612134828,10164.0868977552,6016.39077640696,"SEARO"
"157","JE",2019,1209.00223375157,1164.78171140344,-44.2205223481262,"WPRO"
"158","JE",2020,1202.40130826611,0,-1202.40130826611,"WPRO"
"159","JE",2021,1193.20383309712,0,-1193.20383309712,"WPRO"
"160","JE",2022,1178.20440434351,0,-1178.20440434351,"WPRO"
"161","Measles",2019,282246.129778351,292853.220674723,10607.0908963726,"EMRO"
"162","Measles",2020,282410.971628701,295772.890442455,13361.9188137533,"EMRO"
"163","Measles",2021,283884.626045896,293095.856071201,9211.23002530553,"EMRO"
"164","Measles",2022,292353.24969999,297946.98002952,5593.7303295295,"EMRO"
"165","Measles",2019,782265.760232364,732584.453611995,-49681.3066203687,"AFRO"
"166","Measles",2020,796720.728569292,738734.320126373,-57986.4084429182,"AFRO"
"167","Measles",2021,809649.641708831,734378.524751583,-75271.1169572483,"AFRO"
"168","Measles",2022,850092.424275019,747510.509221118,-102581.915053901,"AFRO"
"169","Measles",2019,68667.817437217,68834.2448093978,166.427372180828,"EURO"
"170","Measles",2020,66486.5535062764,65446.1449002583,-1040.40860601817,"EURO"
"171","Measles",2021,65347.8382606577,64663.8282214739,-684.010039183828,"EURO"
"172","Measles",2022,64569.7438655785,63287.7559825106,-1281.98788306787,"EURO"
"173","Measles",2019,105137.259154933,104277.599845105,-859.65930982877,"PAHO"
"174","Measles",2020,103502.409585759,99157.3410120973,-4345.06857366173,"PAHO"
"175","Measles",2021,101513.246272087,96273.6983773932,-5239.54789469394,"PAHO"
"176","Measles",2022,102187.998926258,95603.0858818963,-6584.91304436163,"PAHO"
"177","Measles",2019,117252.370833106,118050.314841754,797.944008648585,"WPRO"
"178","Measles",2020,112907.062860167,113705.359793043,798.296932876387,"WPRO"
"179","Measles",2021,99575.6333324288,96969.0453242134,-2606.58800821539,"WPRO"
"180","Measles",2022,92897.2151309099,91816.5006238954,-1080.71450701452,"WPRO"
"181","Measles",2019,325759.76913173,339817.424851975,14057.6557202451,"SEARO"
"182","Measles",2020,319801.605085424,314899.432698532,-4902.17238689144,"SEARO"
"183","Measles",2021,315430.000606104,302802.43798896,-12627.5626171438,"SEARO"
"184","Measles",2022,317180.638517823,325433.020106957,8252.38158913387,"SEARO"
"185","MenA",2019,4423.81343323993,3669.42204398303,-754.391389256905,"AFRO"
"186","MenA",2020,4530.42376215223,3790.8563643836,-739.567397768625,"AFRO"
"187","MenA",2021,4636.20274176327,4291.09091373067,-345.1118280326,"AFRO"
"188","MenA",2022,4786.53166652411,4605.7766528942,-180.755013629914,"AFRO"
"189","MenA",2019,1665.88046647631,1633.21614360423,-32.66432287208,"EMRO"
"190","MenA",2020,1695.97519793081,1628.69300813602,-67.2821897947902,"EMRO"
"191","MenA",2021,1714.70933443705,1563.41145198672,-151.29788245033,"EMRO"
"192","MenA",2022,1753.69992393345,0,-1753.69992393345,"EMRO"
"193","P",2019,56518.6919181062,60309.9583866379,3791.26646853177,"EMRO"
"194","P",2020,56515.3380921756,58216.7453954289,1701.40730325336,"EMRO"
"195","P",2021,56819.3330975872,59221.2110151313,2401.87791754403,"EMRO"
"196","P",2022,58250.4654072957,61076.9960546141,2826.53064731847,"EMRO"
"197","P",2019,158722.472072554,166044.152870715,7321.68079816143,"AFRO"
"198","P",2020,161364.735944045,162870.637984468,1505.90204042286,"AFRO"
