location_name,nx,BCG,D,HPV,HepB,Hib,JE,Measles,MenA,P,PCV,Rota,Rubella,T,YF
Albania,32550,0.99,0.99,0,0.99,0.99,0,0.997467811,0,0.99,0.99,0,0.997467811,0.99,0
Eswatini,29697,0.99,0.98,0,0.98,0.98,0,0.999999179,0,0.98,0.9,0.95,0.922057981,0.98,0
Latvia,27298,0.97,0.99,0.990553765,0.99,0.99,0,0.99,0,0.99,0.87,0.85,0.99,0.99,0
Qatar,26093,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0
Comoros,25042,0.94,0.91,0,0.9162,0.9195,0,0.990650854,0,0.91,0,0,0,0.91,0
Bosnia and Herzegovina,24659,0.98,0.95,0,0.94,0.87,0,0.96,0,0.95,0,0,0.96,0.95,0
Lithuania,24248,0.99,0.98,0.748,0.98,0.98,0,0.98,0,0.98,0.82,0.45,0.98,0.98,0
North Macedonia,21799,0.99,0.98,0,0.985,0.97,0,0.99,0,0.98,0,0,0.98,0.98,0
Solomon Islands,20909,0.99,0.99,0,0.91,0.94,0,1,0,0.99,0.87,0,1,0.99,0
Bahrain,19638,0,0.99,0,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0
Djibouti,19397,0.99,0.89,0,0.89,0.89,0,1,0,0.89,0.8418,0.8717,0,0.89,0
Slovenia,19185,0,0.97,0.984356936,0,0.97,0,0.96,0,0.97,0.65,0,0.96,0.97,0
Fiji,17929,0.99,0.99,0,0.985,0.99,0,1,0,0.99,0.99,0.99,1,0.99,0
Trinidad and Tobago,17086,0,0.99,0.384788198,0.99,0.99,0,0.99,0,0.99,0.99,0,0.99,0.99,0.98
Guyana,14608,0.99,0.99,0.4409,0.98,0.98,0,0.99,0,0.99,0.97,0.97,0.99,0.99,0.99
Bhutan,13360,0.99,0.99,0.974824132,0.98,0.99,0,0.992525918,0,0.99,0,0,0.99,0.99,0
Estonia,13177,0.99,0.96,0.45,0.95,0.95,0,0.96,0,0.96,0,0.87,0.96,0.96,0
Mauritius,13055,0.99,0.99,0.9563,0.99,0.99,0,0.99,0,0.99,0.97,0.96,0.99,0.99,0
Cyprus,12509,0,0.99,0.8452,0.97,0.97,0,0.9,0,0.99,0.81,0,0.9,0.99,0
Suriname,10364,0,0.94,0.9755056,0.87,0.87,0,0.91,0,0.94,0,0,0.91,0.94,0.68
Cabo Verde,10245,0.99,0.99,0,0.985,0.99,0,0.999855093,0,0.99,0,0,0.999414103,0.99,0
Vanuatu,8736,0.97,0.9,0,0.86,0.86,0,1,0,0.9,0,0,0.999371324,0.9,0
Belize,7891,0.99,0.98,0.6808,0.98,0.98,0,0.990055309,0,0.98,0,0,0.990055309,0.98,0
Montenegro,7572,0.98,0.95,0,0.93,0.94,0,0.91,0,0.95,0,0,0.91,0.95,0
Maldives,6750,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Luxembourg,6534,0,0.99,0.662957056,0.96,0.99,0,0.99,0,0.99,0.96,0.89,0.99,0.99,0
Sao Tome and Principe,6430,0.99,0.99,0,0.99,0.98,0,0.99986357,0,0.99,0.97,0.9561,0.953205986,0.99,0.94
Samoa,5959,0.98,0.98,0,0.895,0.85,0,0.995919679,0,0.98,0,0,0.995552694,0.98,0
Bahamas,5787,0,0.99,0.4070314,0.98,0.99,0,0.98,0,0.99,0.97,0.9,0.98,0.99,0
Brunei Darussalam,5737,0.99,0.99,0.999997955,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Malta,4245,0,0.99,0.999915985,0.98,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Iceland,3855,0,0.99,0.999998955,0,0.99,0,0.96,0,0.99,0.91,0,0.96,0.99,0
Barbados,3126,0,0.97,0.65163464,0.97,0.97,0,0.98,0,0.97,0.97,0,0.98,0.97,0
Kiribati,3085,0.95,0.99,0.8402,0.92,0.95,0,0.998323461,0,0.99,0.9482,0.9726,0.998323461,0.99,0
Micronesia (Federated States of),2512,0.85,0.94,0,0.92,0.79,0,0.986996703,0,0.94,0.7,0.7,0.986996703,0.94,0
Tonga,2399,0.99,0.99,0,0.91,0.82,0,0.93,0,0.99,0,0,0.93,0.99,0
Saint Lucia,2140,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Grenada,1767,0,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Seychelles,1583,0.99,0.99,0.999999143,0.99,0.99,0,0.99,0,0.99,0.92,0.99,0.99,0.99,0
Saint Vincent and the Grenadines,1472,0.99,0.99,0.04,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Antigua and Barbuda,1455,0,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
