"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"105","Hib",2019,6550.34858857784,6550.34858857784,0,"PAHO"
"106","Hib",2020,6459.03981957071,5845.47646131213,-613.563358258578,"PAHO"
"107","Hib",2021,6352.91073459935,5669.89064103209,-683.020093567258,"PAHO"
"108","Hib",2019,4225.22400644815,4225.22400644815,0,"WPRO"
"109","Hib",2020,4221.12906623774,4229.54879083,8.41972459226326,"WPRO"
"110","Hib",2021,4223.95665704091,3704.45001487066,-519.506642170251,"WPRO"
"111","Hib",2019,56169.4348533123,56169.4348533123,0,"SEARO"
"112","Hib",2020,55220.1864247842,52038.5780176481,-3181.60840713611,"SEARO"
"113","Hib",2021,54444.988605758,49895.5056395887,-4549.48296616936,"SEARO"
"114","JE",2019,4278.43206015989,4278.43206015989,0,"SEARO"
"115","JE",2020,4195.50659776079,9726.98539877233,5531.47880101154,"SEARO"
"116","JE",2021,4132.18886034289,8929.18598913594,4796.99712879305,"SEARO"
"117","JE",2019,1209.00223375157,1209.00223375157,0,"WPRO"
"118","JE",2020,1202.40130826611,NA,NA,"WPRO"
"119","JE",2021,1193.20383309712,NA,NA,"WPRO"
"120","Measles",2019,281810.915664149,281810.915664149,0,"EMRO"
"121","Measles",2020,282161.431818523,293275.7779703,11114.3461517766,"EMRO"
"122","Measles",2021,283789.955091839,289915.938326208,6125.98323436978,"EMRO"
"123","Measles",2019,781754.90549156,781754.90549156,0,"AFRO"
"124","Measles",2020,796190.148790709,736069.796634825,-60120.3521558841,"AFRO"
"125","Measles",2021,809013.020852852,730864.001342182,-78149.01951067,"AFRO"
"126","Measles",2019,68816.8634766777,68816.8634766777,0,"EURO"
"127","Measles",2020,66649.1370662986,65419.3709169839,-1229.76614931471,"EURO"
"128","Measles",2021,65466.6933177491,64714.2867280281,-752.406589720988,"EURO"
"129","Measles",2019,105130.318222046,105130.318222046,0,"PAHO"
"130","Measles",2020,103499.684386803,99160.8648980223,-4338.81948878118,"PAHO"
"131","Measles",2021,101516.283406829,95885.95599305,-5630.32741377862,"PAHO"
"132","Measles",2019,117736.990385317,117736.990385317,0,"WPRO"
"133","Measles",2020,113484.453441854,113741.081068687,256.627626832793,"WPRO"
"134","Measles",2021,100072.118001079,97042.9011136616,-3029.21688741753,"WPRO"
"135","Measles",2019,325320.168794986,325320.168794986,0,"SEARO"
"136","Measles",2020,319205.221448531,314899.806654644,-4305.41479388706,"SEARO"
"137","Measles",2021,315047.248831188,302803.177581142,-12244.0712500466,"SEARO"
"138","MenA",2019,4423.81343323993,4423.81343323993,0,"AFRO"
"139","MenA",2020,4530.42376215223,3790.8563643836,-739.567397768625,"AFRO"
"140","MenA",2021,4636.20274176327,4291.09091373067,-345.1118280326,"AFRO"
"141","MenA",2019,1665.88046647631,1665.88046647631,0,"EMRO"
"142","MenA",2020,1695.97519793081,1628.69300813602,-67.2821897947902,"EMRO"
"143","MenA",2021,1714.70933443705,NA,NA,"EMRO"
"144","P",2019,56518.6919181062,56518.6919181062,0,"EMRO"
"145","P",2020,56515.3380921756,56763.4293559513,248.091263775736,"EMRO"
"146","P",2021,56819.3330975872,58717.1859264621,1897.85282887481,"EMRO"
"147","P",2019,158722.472072554,158722.472072554,0,"AFRO"
