"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"AFG",2020,"P","DTP3",5741.05866958909,5581.58481765606,"EMRO","Low income",0.7,1324999
"AFG",2020,"T","DTP3",662.698264907561,644.28997977124,"EMRO","Low income",0.7,1324999
"AFG",2020,"TB","BCG",1647.05493584542,1666.20673742502,"EMRO","Low income",0.87,1324999
"AFG",2021,"HepB","HepB",4172.25124412254,3824.56364044566,"EMRO","Low income",0.66,1352344
"AFG",2021,"HepB","HepB_BD",445.055867110218,482.143856036069,"EMRO","Low income",0.39,1352344
"AFG",2021,"Hib","Hib3",4136.0696434132,3791.39717312877,"EMRO","Low income",0.66,1352344
"AFG",2021,"Measles","MCV1",14439.2380721605,14213.624977283,"EMRO","Low income",0.63,1352344
"AFG",2021,"Measles","MCV2",1087.43720902923,1167.00578529966,"EMRO","Low income",0.44,1283029
"AFG",2021,"PCV","PCV3",3747.10692744665,3581.79338652988,"EMRO","Low income",0.65,1352344
"AFG",2021,"Rota","Rota",1095.27405311028,1114.15808850873,"EMRO","Low income",0.59,1352344
"AFG",2021,"D","DTP3",207.916849431224,190.590445311956,"EMRO","Low income",0.66,1352344
"AFG",2021,"P","DTP3",5859.54121132679,5371.24611038289,"EMRO","Low income",0.66,1352344
"AFG",2021,"T","DTP3",676.374866968315,620.010294720956,"EMRO","Low income",0.66,1352344
"AFG",2021,"TB","BCG",1681.04644619425,1641.95234279438,"EMRO","Low income",0.84,1352344
"AFG",2022,"HepB","HepB",4384.40088560005,4095.01892692416,"EMRO","Low income",0.69,1385020
"AFG",2022,"HepB","HepB_BD",576.452202150801,557.10053126809,"EMRO","Low income",0.44,1385020
"AFG",2022,"Hib","Hib3",4346.37953144121,4059.50708186932,"EMRO","Low income",0.69,1385020
"AFG",2022,"Measles","MCV1",15559.1753726689,15712.3839122093,"EMRO","Low income",0.68,1385020
"AFG",2022,"Measles","MCV2",1330.00857284437,1321.16309942227,"EMRO","Low income",0.49,1304297
"AFG",2022,"PCV","PCV3",3983.46056093493,3781.21038964345,"EMRO","Low income",0.67,1385020
"AFG",2022,"Rota","Rota",1209.54817696784,1218.44020646864,"EMRO","Low income",0.63,1385020
"AFG",2022,"D","DTP3",218.488956066965,204.068111872866,"EMRO","Low income",0.69,1385020
"AFG",2022,"P","DTP3",6157.48577278071,5751.07556077238,"EMRO","Low income",0.69,1385020
"AFG",2022,"T","DTP3",710.767015747434,663.8545283755,"EMRO","Low income",0.69,1385020
