"location_iso3","year","disease","v_at_id","target"
"AGO",2025,"Rubella",17,689.215942668921
"AGO",2025,"T",20,593.881242000464
"AGO",2025,"TB",21,2779.13490474564
"AGO",2025,"YF",19,1107.9754179085
"AGO",2026,"D",20,223.4087439755
"AGO",2026,"HPV",2,5662.91134926704
"AGO",2026,"HepB",3,12657.0708204656
"AGO",2026,"HepB",4,0
"AGO",2026,"Hib",5,7846.30732763401
"AGO",2026,"Measles",8,32818.3483651443
"AGO",2026,"Measles",9,4858.78101981262
"AGO",2026,"P",20,8605.10285564196
"AGO",2026,"PCV",13,6850.9742392964
"AGO",2026,"Rota",15,2212.73742661073
"AGO",2026,"Rubella",17,734.500724987222
"AGO",2026,"T",20,626.767903432439
"AGO",2026,"TB",21,2878.85600411685
"AGO",2026,"YF",19,1192.65252540152
"AGO",2027,"D",20,234.933729743943
"AGO",2027,"HPV",2,7385.84059770224
"AGO",2027,"HepB",3,13310.0110701635
"AGO",2027,"HepB",4,1040.89345479776
"AGO",2027,"Hib",5,8251.07474486515
"AGO",2027,"Measles",8,34774.3592460634
"AGO",2027,"Measles",9,5263.34617535019
"AGO",2027,"P",20,9049.01425401651
"AGO",2027,"PCV",13,7241.00888857228
"AGO",2027,"Rota",15,2323.92646877579
"AGO",2027,"Rubella",17,778.277803410945
"AGO",2027,"T",20,659.100976161089
"AGO",2027,"TB",21,2980.9731377197
"AGO",2027,"YF",19,1273.28581113531
"AGO",2028,"D",20,245.761362358382
"AGO",2028,"HPV",2,9175.7857915915
"AGO",2028,"HepB",3,13923.4432500336
"AGO",2028,"HepB",4,1747.05065261446
"AGO",2028,"Hib",5,8631.35051926777
"AGO",2028,"Measles",8,36593.6297715107
"AGO",2028,"Measles",9,5635.55486625411
"AGO",2028,"P",20,9466.06548787764
"AGO",2028,"PCV",13,7604.98999396527
"AGO",2028,"Rota",15,2428.56282720011
"AGO",2028,"Rubella",17,818.99452397901
"AGO",2028,"T",20,689.477641246466
"AGO",2028,"TB",21,3078.6769758448
"AGO",2028,"YF",19,1347.55084750786
"AGO",2029,"D",20,256.49935699433
"AGO",2029,"HPV",2,11046.4275006537
"AGO",2029,"HepB",3,14531.7970510464
"AGO",2029,"HepB",4,2234.25768015046
"AGO",2029,"Hib",5,9008.47813073395
"AGO",2029,"Measles",8,38370.2469729782
"AGO",2029,"Measles",9,5986.20912322758
